FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US17179,17179,Tazewell,Tazewell,"0500000US17179.graphml",0.32397721600000007
0500000US17181,17181,Union,Union,"0500000US17181.graphml",0.14624768000000002
0500000US17183,17183,Vermilion,Vermilion,"0500000US17183.graphml",0.194699264
0500000US17185,17185,Wabash,Wabash,"0500000US17185.graphml",0.11671142400000001
0500000US17187,17187,Warren,Warren,"0500000US17187.graphml",0.110276608
0500000US17189,17189,Washington,Washington,"0500000US17189.graphml",0.13930496
0500000US17191,17191,Wayne,Wayne,"0500000US17191.graphml",0.14147993600000003
0500000US17193,17193,White,White,"0500000US17193.graphml",0.154083328
0500000US17195,17195,Whiteside,Whiteside,"0500000US17195.graphml",0.148045824
0500000US17197,17197,Will,Will,"0500000US17197.graphml",1.2271779839999999
0500000US17199,17199,Williamson,Williamson,"0500000US17199.graphml",0.236187648
0500000US17201,17201,Winnebago,Winnebago,"0500000US17201.graphml",0.368922624
0500000US17203,17203,Woodford,Woodford,"0500000US17203.graphml",0.24188518399999998
