FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US21097,21097,Harrison,Harrison County,"0500000US21097.graphml",0.02690662399999999
0500000US23023,23023,Sagadahoc,Sagadahoc County,"0500000US23023.graphml",0.056619008
0500000US30097,30097,Sweet Grass,Sweet Grass County,"0500000US30097.graphml",0.014012416
0500000US48181,48181,Grayson,Grayson County,"0500000US48181.graphml",0.16666624000000002
0500000US42059,42059,Greene,Greene County,"0500000US42059.graphml",0.07853670399999998
0500000US02188,02188,Northwest Arctic,Northwest Arctic Borough,"0500000US02188.graphml",0.0071434239999999816
0500000US20051,20051,Ellis,Ellis County,"0500000US20051.graphml",0.082784256
0500000US01065,01065,Hale,Hale County,"0500000US01065.graphml",0.03724902399999999
0500000US01105,01105,Perry,Perry County,"0500000US01105.graphml",0.03196518400000001
0500000US01033,01033,Colbert,Colbert County,"0500000US01033.graphml",0.11687526399999998
0500000US20151,20151,Pratt,Pratt County,"0500000US20151.graphml",0.03429990400000002
0500000US21017,21017,Bourbon,Bourbon County,"0500000US21017.graphml",0.02691072
0500000US47149,47149,Rutherford,Rutherford County,"0500000US47149.graphml",0.23168614399999998
0500000US13075,13075,Cook,Cook County,"0500000US13075.graphml",0.03168256
0500000US20101,20101,Lane,Lane County,"0500000US20101.graphml",0.02367488000000001
0500000US40059,40059,Harper,Harper County,"0500000US40059.graphml",0.032923648
0500000US17147,17147,Piatt,Piatt County,"0500000US17147.graphml",0.037920767999999994
0500000US48107,48107,Crosby,Crosby County,"0500000US48107.graphml",0.04547379200000001
0500000US72053,72053,Fajardo,Fajardo Municipio,"0500000US72053.graphml",0.02899558399999999
0500000US01063,01063,Greene,Greene County,"0500000US01063.graphml",0.04206592000000001
0500000US16033,16033,Clark,Clark County,"0500000US16033.graphml",0.06705152
0500000US19109,19109,Kossuth,Kossuth County,"0500000US19109.graphml",0.04975411199999999
0500000US72151,72151,Yabucoa,Yabucoa Municipio,"0500000US72151.graphml",0.029212671999999995
0500000US38013,38013,Burke,Burke County,"0500000US38013.graphml",0.017604607999999994
0500000US37063,37063,Durham,Durham County,"0500000US37063.graphml",0.253538304
0500000US19085,19085,Harrison,Harrison County,"0500000US19085.graphml",0.04259020799999999
0500000US31103,31103,Keya Paha,Keya Paha County,"0500000US31103.graphml",0.009641983999999992
0500000US19187,19187,Webster,Webster County,"0500000US19187.graphml",0.06422528
0500000US17151,17151,Pope,Pope County,"0500000US17151.graphml",0.012251135999999996
0500000US47159,47159,Smith,Smith County,"0500000US47159.graphml",0.034910208
0500000US51089,51089,Henry,Henry County,"0500000US51089.graphml",0.067076096
0500000US51510,51510,Alexandria,Alexandria city,"0500000US51510.graphml",0.054685696000000006
0500000US19101,19101,Jefferson,Jefferson County,"0500000US19101.graphml",0.03784294399999999
0500000US30049,30049,Lewis and Clark,Lewis and Clark County,"0500000US30049.graphml",0.11773542399999998
0500000US49013,49013,Duchesne,Duchesne County,"0500000US49013.graphml",0.052670464
