REGION_INDEX,TIME,STARTEND
-1,436.44363379478455,1676495360.2917032
1,265.5055251121521,1676495961.6860912
16,346.00104451179504,1676496066.877435
2,378.0369555950165,1676496074.3393855
9,368.9176287651062,1676496089.647178
14,381.0206472873688,1676496101.8973324
15,389.9927463531494,1676496110.8689473
29,398.8901605606079,1676496126.8837917
26,393.21285676956177,1676496130.3801374
18,408.31804060935974,1676496130.5178547
36,374.3740961551666,1676496132.975007
17,411.94121623039246,1676496133.055513
51,391.97377920150757,1676496150.437166
10,429.9093372821808,1676496150.6472807
25,424.51603841781616,1676496151.7265594
3,455.4754741191864,1676496151.900756
30,428.24996280670166,1676496156.2437499
19,436.3354206085205,1676496158.5339622
63,392.03200006484985,1676496172.5363674
61,393.8098566532135,1676496174.21351
40,420.7349808216095,1676496179.341055
24,461.7247326374054,1676496182.3457987
95,362.2629222869873,1676496183.6969776
32,430.6343574523926,1676496188.849484
44,438.0185544490814,1676496196.6246035
55,443.69352531433105,1676496202.3244545
6,482.50652146339417,1676496205.9596121
31,447.7968485355377,1676496206.0434723
52,452.8334872722626,1676496211.2965534
58,451.92802596092224,1676496212.873593
7,493.1437957286835,1676496216.5971344
34,461.91195702552795,1676496220.5127208
28,494.0731625556946,1676496222.0673234
60,450.42429971694946,1676496230.7047713
69,451.91754961013794,1676496232.75532
23,520.8130242824554,1676496241.7421443
66,467.1891448497772,1676496247.686391
8,530.0844371318817,1676496250.8142836
50,498.84019660949707,1676496259.7857354
33,505.37687063217163,1676496263.644366
71,484.78930401802063,1676496265.6274943
90,445.4496364593506,1676496266.8840544
91,446.12021350860596,1676496267.55446
86,446.64403557777405,1676496267.6476214
80,478.9435534477234,1676496268.9434352
22,548.2428588867188,1676496269.1723216
62,488.94964933395386,1676496269.4798265
21,549.6265151500702,1676496270.5556421
85,481.1616551876068,1676496271.8486261
47,511.8789482116699,1676496272.8245537
54,525.8420515060425,1676496284.455457
27,547.5588684082031,1676496284.7260666
11,564.3747253417969,1676496285.1124315
46,525.3808672428131,1676496286.3264852
83,497.6847803592682,1676496288.742032
59,515.3528871536255,1676496295.6307364
68,522.4730851650238,1676496302.9703274
42,544.5266532897949,1676496303.1328888
4,608.6478581428528,1676496305.0731008
93,496.76947116851807,1676496318.2034993
0,630.4943659305573,1676496326.6745799
67,546.8442261219025,1676496327.3416727
78,541.0924115180969,1676496330.5453148
5,634.0841782093048,1676496331.681746
43,574.4067776203156,1676496333.0128646
20,617.1035356521606,1676496339.3012912
56,606.4856305122375,1676496365.1165595
48,604.6054759025574,1676496365.551302
64,587.1731560230255,1676496367.712779
82,579.8244955539703,1676496370.8845422
12,654.9334013462067,1676496375.5297492
65,600.3677523136139,1676496380.8653026
39,623.3275849819183,1676496381.933854
79,594.8136503696442,1676496384.5696557
57,624.361741065979,1676496385.3074396
72,608.0835325717926,1676496388.921327
73,625.8177585601807,1676496406.6556258
45,651.8253288269043,1676496412.7710292
75,650.6302220821381,1676496431.2021253
74,669.3353488445282,1676496449.9067745
94,629.270429611206,1676496450.7047086
70,671.5973069667816,1676496452.4352021
38,696.1966106891632,1676496454.7969503
53,697.0063991546631,1676496455.6196826
13,736.459930896759,1676496457.05634
35,703.8746175765991,1676496462.475202
37,705.5192773342133,1676496464.1198602
81,687.639110326767,1676496477.799492
76,710.7330601215363,1676496491.3048003
77,715.700582742691,1676496496.2719607
92,708.5286259651184,1676496529.9630015
84,750.1825323104858,1676496540.8696644
49,883.7556004524231,1676496644.7011497
88,854.1606245040894,1676496675.457865
87,1108.8836314678192,1676496929.7801695
89,1513.6124131679535,1676497334.9094675
41,1697.8372628688812,1676497456.4437842
