REGION_INDEX,TIME
-1,523
1,2058.8439621925354
12,2329.0475845336914
4,2466.28919839859
9,2682.624517440796
13,2731.267007827759
0,2780.91016125679
15,2893.25714302063
14,3176.5938239097595
7,3198.540025472641
3,3311.870656490326
10,3304.5045659542084
5,3431.6846947669983
11,3569.644493341446
16,3734.469430923462
2,3771.463226079941
6,3976.3752994537354
8,4435.073494195938
17,4592.306364297867
21,2324.3465945720673
23,2067.2899372577667
22,2377.9289314746857
18,5122.386996746063
26,2034.134126663208
24,2735.5303609371185
32,2039.3138053417206
25,2890.189740419388
27,2738.0355784893036
34,1973.093588590622
28,2678.495356798172
19,4068.7302861213684
30,2776.8358047008514
31,2729.657730817795
29,3016.757110595703
36,1913.1290340423584
20,4307.3108859062195
33,2887.928313970566
35,2255.383237361908
40,2002.7650344371796
37,2523.5928659439087
38,2676.5037355422974
45,2146.359833717346
44,2405.2738580703735
42,3048.4798839092255
48,2609.2892878055573
46,2790.6843984127045
53,2408.0704560279846
51,2975.5585792064667
50,3034.781140089035
54,2826.4218719005585
41,4359.898065090179
55,3064.307014942169
57,2491.978655099869
39,4752.3343896865845
49,3931.18399810791
58,2847.529514312744
59,2266.173656463623
43,4584.036018848419
56,3423.0333602428436
60,2837.0862712860107
61,2589.129189491272
65,2421.131271123886
63,3178.195193052292
52,5500.088438987732
62,3325.8919694423676
67,2765.9220979213715
69,3630.465371131897
66,4050.84259057045
71,3673.83749461174
77,2474.445508956909
72,3605.5517992973328
70,3939.2165508270264
73,3560.0804572105408
82,2010.4931645393372
74,3735.171421766281
79,2369.700856924057
68,4698.830149888992
75,3991.1830933094025
76,4265.102794885635
80,3169.765482187271
78,3951.571939945221
81,3537.5777401924133
86,2431.988001346588
84,2854.107079267502
85,2888.9910595417023
95,1978.6056530475616
87,3240.2013647556305
83,4508.308413982391
91,2713.2513501644135
92,2831.850762605667
47,11192.631056070328
94,3370.3582277297974
88,4257.474494457245
93,4473.863802433014
64,9586.765832662582
90,5165.773313522339
89,7462.284104347229
