REGION_INDEX,TIME,STARTEND
-1,512.0388069152832,1676503761.6466854
0,1830.540755033493,1676509554.5199416
4,1654.0886678695679,1676509683.0641994
16,1472.9837384223938,1676509730.005301
17,1495.8341014385223,1676509765.1623182
14,1561.6127016544342,1676509769.9574227
10,1713.6760456562042,1676509802.5858452
3,1833.18066072464,1676509842.870308
12,1682.5281887054443,1676509846.3500755
15,1675.7611463069916,1676509901.8630958
18,1837.4760508537292,1676510106.8039763
1,2313.822417974472,1676510130.7957218
5,2329.4144587516785,1676510358.5528924
2,2660.628167629242,1676510540.4320786
8,2513.0919144153595,1676510583.8733664
11,2449.6301667690277,1676510598.0683782
6,2627.680484056473,1676510666.4834993
7,2761.536726474762,1676510832.3360214
13,3663.4804785251617,1676511859.3191724
9,4108.499202251434,1676512179.218252
