REGION_INDEX,TIME,STARTEND
-1,357.0416920185089,1676605062.3291073
23,806.8501727581024,1676606254.9895155
4,932.4904973506927,1676606329.100116
9,915.6984145641327,1676606331.9499762
1,991.8175942897797,1676606387.906116
12,1037.7009387016296,1676606453.892479
3,1088.886002779007,1676606485.0338566
11,1104.8521783351898,1676606521.0411878
13,1203.002364397049,1676606620.4072824
21,1194.4193449020386,1676606642.6783278
25,1277.879230260849,1676606726.0186033
24,1285.2526354789734,1676606733.3920784
7,1319.3894593715668,1676606735.502906
18,1397.0506286621094,1676606813.5115366
10,1511.4033737182617,1676606927.5953562
17,1511.9228012561798,1676606928.1380167
19,1494.5179603099823,1676606943.0606017
15,1570.0363748073578,1676606986.251433
20,1544.076830148697,1676606992.3360343
14,1619.5885338783264,1676607036.993703
16,1636.6833710670471,1676607052.8983426
6,1728.3414897918701,1676607144.3235354
5,1750.7859616279602,1676607166.6367178
2,1922.2008242607117,1676607318.227589
0,2176.110773086548,1676607572.2240899
8,2243.970594406128,1676607660.2225206
22,2785.2963750362396,1676608233.5557234
