REGION_INDEX,TIME,STARTEND
-1,452.8941934108734,1676498183.702809
20,383.3232057094574,1676498941.5872843
23,402.62009167671204,1676498960.9945724
14,409.6867907047272,1676498967.917221
19,426.7100749015808,1676498984.8648655
29,421.22182965278625,1676499010.2929668
16,459.3903000354767,1676499017.6524065
3,458.42186403274536,1676499018.4539833
38,429.89869832992554,1676499019.57686
2,468.8567657470703,1676499028.3013883
28,440.60633659362793,1676499029.9052947
12,475.04099893569946,1676499035.0712376
1,479.7336826324463,1676499037.8203247
43,452.3095452785492,1676499041.7324615
17,486.77293729782104,1676499045.034947
63,424.67393922805786,1676499045.0880368
95,395.46555042266846,1676499047.9237123
78,398.18129992485046,1676499050.1724744
71,434.8708007335663,1676499055.7445374
55,457.41553354263306,1676499059.1143272
27,506.0133376121521,1676499064.5970209
41,476.783056974411,1676499066.539374
61,465.0932152271271,1676499066.9258604
13,509.24991941452026,1676499067.4802706
92,415.9127576351166,1676499068.1997757
7,515.7489864826202,1676499073.84833
21,516.5586717128754,1676499075.3983154
48,486.69878911972046,1676499076.1734009
60,474.46901845932007,1676499076.3017323
33,490.12016129493713,1676499079.3265443
74,461.19501304626465,1676499082.262412
8,539.0943098068237,1676499097.1937494
26,539.9873495101929,1676499099.4286253
67,478.69320344924927,1676499099.8928473
22,546.9492266178131,1676499105.3237877
89,456.54330682754517,1676499108.8771226
35,521.6280245780945,1676499111.0785153
24,553.4054882526398,1676499112.2081
34,525.0671679973602,1676499114.272009
44,550.4217054843903,1676499139.9044342
58,539.932853937149,1676499141.7652326
32,552.3317203521729,1676499141.7823467
88,490.9725706577301,1676499143.2834687
9,588.0539753437042,1676499146.1533394
57,547.9039044380188,1676499149.574366
62,533.4775424003601,1676499153.9101138
83,502.96190214157104,1676499155.5054488
5,597.720808506012,1676499156.024043
0,602.2413811683655,1676499160.3280282
4,604.6480543613434,1676499162.9513116
25,605.3667528629303,1676499163.9814525
66,543.144561290741,1676499164.34404
82,514.3904938697815,1676499166.933662
11,615.5763714313507,1676499174.0017512
52,573.6087477207184,1676499175.176467
39,590.3553404808044,1676499179.8392062
80,528.3154308795929,1676499180.2238748
65,566.7683103084564,1676499187.968106
94,548.9177837371826,1676499201.3757756
36,621.3378582000732,1676499210.7038112
47,626.2551038265228,1676499215.7306378
53,619.9484810829163,1676499221.6154432
86,571.7291169166565,1676499224.2361383
56,623.338240146637,1676499225.008727
77,606.4391491413116,1676499227.3978627
84,575.4186964035034,1676499227.8855035
64,625.9044375419617,1676499247.1048985
30,661.7124149799347,1676499251.1628907
18,693.962643623352,1676499252.1179574
46,664.4906768798828,1676499254.0173602
42,677.4801852703094,1676499267.2372043
49,684.7138957977295,1676499274.3635893
72,655.8896627426147,1676499276.7635581
69,658.8585131168365,1676499280.1338408
31,694.9915130138397,1676499284.442057
15,727.2287425994873,1676499285.4591477
93,637.2428905963898,1676499290.2802598
10,746.0109422206879,1676499304.4358697
6,756.8197021484375,1676499314.8945937
70,700.8145868778229,1676499322.0897572
68,702.3866763114929,1676499323.586155
87,672.4238333702087,1676499324.9317386
59,741.8035662174225,1676499343.636164
79,693.3939065933228,1676499345.1059394
90,696.9050273895264,1676499349.2381744
40,761.6431031227112,1676499351.1002822
73,735.9697580337524,1676499357.0372365
37,769.6466689109802,1676499359.125582
75,747.9152388572693,1676499369.0543852
81,742.5085141658783,1676499394.416905
50,809.7206218242645,1676499399.3702788
76,829.9058353900909,1676499451.0450494
85,831.3766870498657,1676499483.8434007
54,904.7292718887329,1676499506.3722892
91,1168.323326587677,1676499821.3325052
51,1466.9688565731049,1676500068.6269233
45,1728.6454305648804,1676500318.1207786
