REGION_INDEX,TIME
-1,7494
1,292.43069791793823
4,311.0398151874542
5,321.10831594467163
15,327.8703315258026
8,374.6557071208954
12,371.3360869884491
3,399.3173248767853
13,452.58813858032227
7,514.2588634490967
16,545.1514718532562
6,559.5193355083466
9,560.8076267242432
23,191.90491604804993
22,222.09984683990479
18,332.61537647247314
10,689.7187707424164
11,705.1334919929504
0,729.7092378139496
24,362.76072788238525
20,443.46987795829773
17,789.4802761077881
38,174.33866167068481
21,665.7001659870148
34,403.9877471923828
25,673.3856935501099
19,858.3299207687378
26,654.8790783882141
30,612.0065994262695
35,479.2288384437561
27,669.4565188884735
28,677.8507483005524
29,693.2515957355499
31,671.1483497619629
32,664.3607029914856
33,673.2034051418304
40,363.47844886779785
49,121.15815758705139
14,1399.0954582691193
44,285.3420033454895
45,312.27006101608276
42,379.08755922317505
46,314.562992811203
47,353.05104970932007
2,1637.846081495285
51,365.3190519809723
52,325.80638790130615
58,329.1793894767761
59,407.5498104095459
39,951.8053908348083
57,475.9456605911255
54,605.7201368808746
55,607.2042899131775
56,561.7955090999603
53,754.3653154373169
50,856.837851524353
41,1044.905922651291
60,637.266268491745
37,1486.4843173027039
36,1551.995590209961
62,716.2201170921326
63,699.3013293743134
61,776.4067828655243
43,1262.2287347316742
75,324.14539527893066
67,658.7666323184967
64,791.9772045612335
65,793.2318916320801
66,790.2461922168732
48,1535.6295194625854
70,758.9916524887085
71,721.8540041446686
74,695.7975606918335
69,926.7760829925537
80,607.1688551902771
68,1079.7364945411682
87,332.81991267204285
79,807.0191671848297
76,905.8539385795593
78,904.0915901660919
77,960.8323292732239
92,309.9525647163391
89,470.2714092731476
73,1264.5682816505432
90,501.5844326019287
93,343.4476239681244
72,1349.3427903652191
102,213.84120559692383
98,351.3332951068878
94,546.6718213558197
91,745.3076331615448
95,633.4770414829254
85,1199.8769648075104
97,676.9092938899994
96,843.7609403133392
81,1570.1479539871216
82,1564.2070314884186
110,241.27597761154175
84,1546.1322400569916
106,510.6162009239197
108,525.6122329235077
111,272.87571001052856
103,993.2012836933136
116,209.20600152015686
83,1888.8338723182678
101,1082.2080790996552
99,1162.3313295841217
123,144.74714541435242
118,297.32722091674805
86,2003.1972570419312
124,76.23579668998718
114,542.7298130989075
115,532.2373640537262
100,1384.0014255046844
125,90.16064977645874
121,315.4819848537445
113,685.5004947185516
131,71.56766700744629
126,137.07437419891357
117,549.5821540355682
88,2136.049404144287
120,504.2884132862091
119,523.5930111408234
130,221.35679054260254
137,61.143553256988525
128,275.11294317245483
104,1438.9018478393555
129,318.8130190372467
112,1008.456835269928
132,328.2120907306671
135,316.01996397972107
107,1486.3761281967163
138,278.88561630249023
109,1415.462555885315
133,473.77026867866516
141,363.54967975616455
134,583.2952973842621
145,313.33402824401855
122,959.6578426361084
142,435.43669748306274
139,590.5304145812988
155,201.33278679847717
143,618.8687663078308
152,367.4709463119507
144,699.0289478302002
156,349.43412613868713
136,963.6669735908508
149,646.6857712268829
153,625.2455453872681
160,350.534063577652
140,1176.753309726715
105,2505.8251147270203
127,1482.9485442638397
150,993.8560116291046
164,420.00590085983276
157,776.345602273941
170,57.207178592681885
162,537.8629796504974
163,525.0626056194305
167,263.8345470428467
169,214.560320854187
161,699.5208389759064
146,1398.702224969864
165,486.77235531806946
158,897.3434994220734
168,374.5390751361847
166,507.0033869743347
148,1381.8218047618866
180,78.34384679794312
173,293.74516105651855
176,241.39435863494873
181,146.25034594535828
159,1007.4540495872498
174,374.6184878349304
178,294.0793070793152
147,1602.2714166641235
154,1479.462851524353
188,212.92994928359985
175,560.2374551296234
177,568.7295897006989
186,427.7838406562805
185,450.7389075756073
187,403.2751145362854
182,530.0247342586517
194,249.5798215866089
184,578.9422073364258
172,939.7626814842224
197,201.20658683776855
193,394.82931208610535
196,345.8340120315552
201,265.55552911758423
